Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2020-01-02,152.79112243652344,152.8957614430933,150.61274704618017,151.04081043121997,22622100
2020-01-03,150.88861083984375,152.15378632137134,150.35590842973784,150.6032449166099,21116200
2020-01-06,151.27859497070312,151.34519001394506,148.8814201698209,149.4236443274812,20813700
2020-01-07,149.89932250976562,151.88744937521383,149.65200051472752,151.55451759516868,21634100
2020-01-08,152.28695678710938,152.96235665110237,150.2512643514122,151.18349353765257,27746500
2020-01-09,154.1894989013672,154.31316716090495,153.18116713451627,153.95168425767392,21385000
2020-01-10,153.4760284423828,155.26439889865875,153.32382361311434,154.883901340539,20725900
2020-01-13,155.32144165039062,155.34997823590618,153.39989597373568,153.8755250857261,21626500
2020-01-14,154.22750854492188,155.62585936832997,153.83748916913066,155.4260887442505,23477400
2020-01-15,155.2263641357422,155.94932992763327,154.6461103512771,154.69366166701423,21417900
2020-01-16,158.07058715820312,158.13718220524274,156.03489501300612,156.33930463081663,23865400
2020-01-17,158.95526123046875,159.30722214224815,157.36664716124207,159.25965632618494,34371700
2020-01-21,158.384521484375,159.99215048130927,158.31792643003993,158.5557410268633,29517200
2020-01-22,157.6234893798828,159.32624977859618,157.60446015063795,159.24062550451885,24138800
2020-01-23,158.59378051757812,158.6698829212633,157.21445892402645,158.08961479383197,19680800
2020-01-24,156.9956817626953,159.3643204314718,156.43444278382523,159.34529119903766,24918100
2020-01-27,154.3701934814453,155.4165834020012,152.39157450488025,153.29526697351514,32078100
2020-01-28,157.395263671875,157.68062965674596,155.1217560637201,155.79714158132165,24899900
2020-01-29,159.8494415283203,160.52484132139085,157.61399318783765,159.659192767542,34754500
2020-01-30,164.35842895507812,165.56653121496151,162.46541947030428,165.56653121496151,51597500
2020-01-31,161.93272399902344,163.99695312073845,161.3144118044504,163.81622620551641,36142700
2020-02-03,165.88046264648438,165.9946090221985,162.094443348034,162.1229799419625,30107000
2020-02-04,171.3406219482422,171.83528027532705,167.71633053691934,168.50587658292363,36433300
2020-02-05,171.1313934326172,175.22180776823546,169.71402759792846,175.06009556968283,39186300
2020-02-06,174.67958068847656,174.86032210279942,171.28358131001283,172.1492299180586,27751400
2020-02-07,174.9269256591797,176.58212068098362,173.58564768539304,173.9376232019867,33529100
2020-02-10,179.50245666503906,179.6356322600572,174.3181013028354,174.63201831574622,35844300
2020-02-11,175.45010375976562,181.404976191026,174.55591853044396,181.35741036743522,53159900
2020-02-12,175.70693969726562,176.79137365715482,172.98634018174704,176.53452983335058,47062900
2020-02-13,174.7556610107422,177.15282137071074,173.95659304237023,174.1563636632255,35295800
2020-02-14,176.31573486328125,176.37280803989367,173.74732579532215,174.31808659154638,23149500
2020-02-18,178.1041259765625,178.55121863549235,176.45845282574476,176.5630918419848,27792200
2020-02-19,178.63824462890625,179.4967096593026,177.8656231906105,179.38225153650183,29997500
2020-02-20,175.91024780273438,178.609663963269,172.74345118234925,178.32350404731486,36862400
2020-02-21,170.34925842285156,175.03269814425303,169.07109398402642,174.71792369802935,48572600
2020-02-24,163.00454711914062,166.49566562535716,155.69800236911044,160.02851930646872,68311100
2020-02-25,160.31468200683594,166.77228055874716,159.91404943605284,166.16181293118208,68073300
2020-02-26,162.31781005859375,165.26522408017428,160.44825887950762,161.87904408082238,56206100
2020-02-27,150.88108825683594,159.32272824802632,150.6903197741197,155.78392704632762,93174900
2020-02-28,154.5343475341797,156.15591587021606,144.9862454270017,145.37733024003168,97012700
2020-03-02,164.81686401367188,164.94087002052518,154.82045161825403,157.68202121865457,71030800
2020-03-03,156.91897583007812,166.9249388317412,154.7727980450986,165.78031359069203,71677000
2020-03-04,162.68028259277344,162.8233552930411,157.97776092974468,160.71533988403158,49814400
2020-03-05,158.59774780273438,162.98547961930032,158.0445092042918,158.38789817730108,47817300
2020-03-06,154.1146240234375,155.5835568422293,148.8016355622982,155.10662852311938,72821100
2020-03-09,143.66986083984375,150.47086231713158,143.07847446953875,144.03233096600232,70419300
2020-03-10,153.49459838867188,153.59952319416868,145.53943804182967,150.8619594798835,65354400
2020-03-11,146.54100036621094,150.4231893253635,144.1754254179257,149.87949860861463,56371600
2020-03-12,132.64332580566406,146.38840594496588,132.18547861171123,138.59539754585046,93226400
2020-03-13,151.50103759765625,154.43891751850273,134.23622821911493,140.6938411385518,92727400
2020-03-16,129.1712646484375,142.45849523329102,128.77064660556167,133.53992981317504,87905900
2020-03-17,139.8068084716797,140.69388837483754,128.77067749561402,133.53996184730343,81059800
2020-03-18,133.92149353027344,139.26309761691178,128.78975366596967,131.6322429529714,81593200
2020-03-19,136.1249237060547,143.2216067693411,132.58610822630564,136.18215279092536,85922700
2020-03-20,131.01222229003906,140.31232502440062,129.59097058119917,139.26307684274727,84866200
2020-03-23,129.70541381835938,134.08362658703234,126.40507819849284,130.68788493248408,78975200
2020-03-24,141.49510192871094,142.6969707073253,134.75134250691278,137.11690309012602,82516700
2020-03-25,140.14059448242188,147.20867460267078,137.77503445041356,142.03877414693974,75638200
2020-03-26,148.9065704345703,149.4311945319734,141.52371431628413,141.55232885298807,64568100
2020-03-27,142.7923583984375,147.74287746196345,142.3154300039506,144.7477677267737,57042300
2020-03-30,152.83645629882812,153.18939317810145,143.08803957541994,145.4059189450811,63420300
2020-03-31,150.43275451660156,157.17651417379767,149.3358105207715,152.04476019890492,77927200
2020-04-01,145.0911407470703,150.47089186122017,143.86067202910272,145.94007261341795,57969900
2020-04-02,148.0957794189453,148.30562904799265,143.42188761859504,144.85267260499177,49630700
2020-04-03,146.7318115234375,150.11800649514552,145.1674867592427,147.9432138852821,41243300
2020-04-06,157.6438751220703,158.8171145960234,150.30871596903418,152.92228813961418,67111700
2020-04-07,155.94602966308594,162.1556312433612,155.726632153198,161.76454652194099,62769000
2020-04-08,157.51036071777344,158.9792936241454,155.95556964727277,158.02543692905505,48318200
2020-04-09,157.51986694335938,159.6469629321234,155.79338895104223,158.683573075527,51385100
2020-04-13,157.87283325195312,157.93007688572814,154.81096108382366,156.76637042886347,41905300
2020-04-14,165.68487548828125,165.7325712254723,160.24789620649983,161.2017527315385,52874300
2020-04-15,163.9488983154297,165.5609185071201,161.43071714722825,163.30026817491645,40940800
2020-04-16,168.87078857421875,169.0997194284312,164.92182230592033,166.25723045677836,50479600
2020-04-17,170.3588409423828,171.69423472391077,167.7548012363524,171.21730629412212,52765600
2020-04-20,166.98214721679688,170.50188067672113,166.91538481798173,168.47970918298162,36669600
2020-04-21,160.0762176513672,165.65626989096575,158.44511650151756,165.49411601952747,56203700
2020-04-22,165.51321411132812,165.97106123943186,162.93780400303513,163.4814947386525,34620200
2020-04-23,163.51011657714844,166.98215444262306,163.02365489148056,166.07599347299146,32790800
2020-04-24,166.49563598632812,166.50516931054997,162.8328309374351,164.12052833267273,34277600
2020-04-27,166.0187530517578,168.73723577485046,165.30336056336014,168.44154254173102,33194400
2020-04-28,161.97439575195312,167.56399631501924,161.57377770466547,167.48768603629338,34392700
2020-04-29,169.24276733398438,169.48123148085955,163.948874917113,165.2270392512367,51286600
